variable,mean_norm_importance
stdv_ict_resources,1
stdv_home_possessions,0.65330511
stdv_escs_index,0.603568933
icdv_ict_outside_class_self,0.452192974
stdv_work_for_pay,0.416327228
stdv_curiosity_agreement,0.299130113
icdv_ict_self_efficacy,0.247505792
icdv_ict_use_weekday,0.243274633
sc_community_type,0.230805774
stdv_parent_highest_occup,0.219082881
stdv_perseverance_agreement_self,0.218813669
stdv_self_learning_efficacy,0.204729202
icdv_ict_use_weekend,0.201124532
stdv_career_info_seeking,0.196571802
stdv_emotional_control_agreement,0.191956768
stdv_family_support,0.178985695
st_overall_life_satisfaction,0.178690822
st_total_homework_time_all_subjects,0.172185489
st_digital_learning_weekend_hours,0.160313448
stdv_mother_occupation_status,0.159096611