variable,appears_global_all,appears_global_in,appears_global_out,max_imp_global_all_any_outcome,max_imp_global_in_any_outcome,max_imp_global_out_any_outcome,best_rank_any,max_importance_any,n_topk_slices,n_framework_groups_topk,n_contexts_topk,any_top1,any_top3,topk_frameworks_robust,topk_contexts_robust,global_locations_robust,pisa_locations_robust,mlftau_locations_robust,mechanism_profile,pisa_profile,pisa_ict_in_profile,pisa_ict_out_profile,mlftau_profile,carry_forward_rationale,candidate_score
stdv_cognitive_activation_reasoning,TRUE,TRUE,FALSE,0.110088368,0.15825353,0,1,1,19,3,1,TRUE,TRUE,Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_creative_thinking; domain=process | construct=context_exposure_to_mathematics_content; domain=process | construct=context_mathematics_teacher_behaviours,domain=group_class | construct=facilitating_conditions; domain=group_class | construct=task_attributes,MLFTAU: Group/Class | Task Attributes; Facilitating Conditions; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Exposure to Mathematics Content; Mathematics Teacher Behaviours; Creative Thinking,PISA: Process | Exposure to Mathematics Content; Mathematics Teacher Behaviours; Creative Thinking,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class | Task Attributes; Facilitating Conditions,Peak salience (rank 1) in at least one framework/context slice,7.423386082
scdv_total_teachers,TRUE,TRUE,FALSE,0.681599981,0.757722085,0,3,0.757722085,15,3,2,FALSE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=input; domain=input | construct=context_school_type_and_infrastructure,domain=organisation_school | construct=organisation_attributes,MLFTAU: Organisation/School | Organisation Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input | School Type and Infrastructure,PISA: Input | School Type and Infrastructure,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes,High context-conditional salience in Global in/out baseline,7.366705183
icdv_ict_use_weekend,TRUE,FALSE,TRUE,0.099849698,0,0.21592684,1,1,18,3,1,TRUE,TRUE,Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,OutOfSchool,,domain=context; domain=context | construct=context_out_of_school_experiences; domain=process | construct=students_use_of_ict_for_leisure,domain=individual | construct=events_time; domain=individual | construct=hedonic_motivation,"MLFTAU: Individual | Hedonic Motivation; Events Time; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Process | Students' Use of ICT for Leisure | Technical ICT Skills (Learning-by-Doing); Accessing/Sharing Information, Content Creation; PISA: Context | Out-of-School Experiences",PISA: Context | Out-of-School Experiences,PISA_ICT_In: Not Applicable | Not Applicable,"PISA_ICT_Out: Process | Students' Use of ICT for Leisure | Technical ICT Skills (Learning-by-Doing); Accessing/Sharing Information, Content Creation",MLFTAU: Individual | Hedonic Motivation; Events Time,Peak salience (rank 1) in at least one framework/context slice,7.315701387
stdv_self_learning_efficacy,TRUE,FALSE,TRUE,0.115413367,0,0.244128775,1,1,17,3,1,TRUE,TRUE,Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,OutOfSchool,,domain=input; domain=input | construct=context_general_social_and_emotional_characteristics; domain=process; domain=process | construct=context_general_social_and_emotional_characteristics,domain=individual | construct=user_attributes,"MLFTAU: Individual | User Attributes; Performance Expectancy; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Output | Cognitive Learning Outcomes; Students' Use of ICT for Self-Directed Learning | Not Applicable; Open Educational Resources, Learning Platforms; PISA: Input; Process | General Social and Emotional Characteristics",PISA: Input; Process | General Social and Emotional Characteristics,PISA_ICT_In: Not Applicable | Not Applicable,"PISA_ICT_Out: Output | Cognitive Learning Outcomes; Students' Use of ICT for Self-Directed Learning | Not Applicable; Open Educational Resources, Learning Platforms",MLFTAU: Individual | User Attributes; Performance Expectancy,Peak salience (rank 1) in at least one framework/context slice,7.217248825
stdv_math_self_efficacy_21st,TRUE,TRUE,FALSE,0.170087955,0.270523147,0,1,1,14,3,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=output,domain=individual | construct=user_attributes; domain=output | construct=user_attributes,"MLFTAU: Individual; Output | User Attributes; Cognitive Learning Outcomes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Output | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours; Creative Thinking","PISA: Output | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours; Creative Thinking",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual; Output | User Attributes; Cognitive Learning Outcomes,Peak salience (rank 1) in at least one framework/context slice,7.07565508
icdv_ict_use_weekday,TRUE,FALSE,TRUE,0.130833109,0,0.277183857,2,0.982865136,19,3,2,FALSE,TRUE,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,,domain=context; domain=context | construct=context_out_of_school_experiences; domain=process | construct=students_use_of_ict_for_leisure,domain=individual | construct=events_time; domain=individual | construct=hedonic_motivation,"MLFTAU: Individual | Hedonic Motivation; Events Time; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Process | Students' Use of ICT for Leisure | Technical ICT Skills (Learning-by-Doing); Accessing/Sharing Information, Content Creation; PISA: Context | Out-of-School Experiences",PISA: Context | Out-of-School Experiences,PISA_ICT_In: Not Applicable | Not Applicable,"PISA_ICT_Out: Process | Students' Use of ICT for Leisure | Technical ICT Skills (Learning-by-Doing); Accessing/Sharing Information, Content Creation",MLFTAU: Individual | Hedonic Motivation; Events Time,High salience (top 3) in at least one framework/context slice,6.997731225
stdv_bullying_experience,TRUE,TRUE,FALSE,0.12115019,0.133650751,0,1,1,17,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_general_social_and_emotional_characteristics; domain=process | construct=context_health_and_well_being; domain=process | construct=context_school_culture_and_climate,domain=individual | construct=well_being_outcomes; domain=organisation_school | construct=social_influence; domain=output | construct=well_being_outcomes,MLFTAU: Individual; Organisation/School; Output | Well-Being Outcomes; Social Influence; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | School Culture and Climate; General Social and Emotional Characteristics; Health and Well-Being,PISA: Process | School Culture and Climate; General Social and Emotional Characteristics; Health and Well-Being,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual; Organisation/School; Output | Well-Being Outcomes; Social Influence,Peak salience (rank 1) in at least one framework/context slice,6.865376036
icdv_ict_use_subject_lessons,TRUE,TRUE,FALSE,0.074389177,0.107339326,0,1,1,17,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_organisation_of_student_learning_at_school; domain=process | construct=students_use_of_ict_in_class,domain=organisation_school | construct=facilitating_conditions; domain=organisation_school | construct=task_attributes; domain=organisation_school | construct=technology_attributes,MLFTAU: Group/Class; Organisation/School | Task Attributes; Technology Attributes; Facilitating Conditions; PISA_ICT_In: Process | Integration of ICT into Instruction; Students' Use of ICT in Class; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Organisation of Student Learning at School,PISA: Process | Organisation of Student Learning at School,PISA_ICT_In: Process | Integration of ICT into Instruction; Students' Use of ICT in Class,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class; Organisation/School | Task Attributes; Technology Attributes; Facilitating Conditions,Peak salience (rank 1) in at least one framework/context slice,6.768923091
sc_teacher_computers_internet,TRUE,TRUE,FALSE,0.047277233,0.056918757,0,1,1,17,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=context; domain=context | construct=context_school_type_and_infrastructure; domain=input | construct=context_teacher_qualification_training_and_professional_development; domain=input | construct=hardware_and_software_availability; domain=input | construct=school_ict_infrastructure,domain=organisation_school | construct=facilitating_conditions,"MLFTAU: Organisation/School | Organisation Attributes; Facilitating Conditions; Technology Attributes; PISA_ICT_In: Input | Hardware and Software Availability; School ICT Infrastructure; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input; Context | School Type and Infrastructure; Teacher Qualification, Training, and Professional Development","PISA: Input; Context | School Type and Infrastructure; Teacher Qualification, Training, and Professional Development",PISA_ICT_In: Input | Hardware and Software Availability; School ICT Infrastructure,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes; Facilitating Conditions; Technology Attributes,Peak salience (rank 1) in at least one framework/context slice,6.677834607
stdv_math_disciplinary_climate,TRUE,TRUE,FALSE,0.130088224,0.179439688,0,1,1,14,2,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=process; domain=process | construct=context_mathematics_teacher_behaviours; domain=process | construct=context_school_culture_and_climate,,MLFTAU: Group/Class; Organisation/School | Environment Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | School Culture and Climate; Mathematics Teacher Behaviours,PISA: Process | School Culture and Climate; Mathematics Teacher Behaviours,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class; Organisation/School | Environment Attributes,Peak salience (rank 1) in at least one framework/context slice,6.674572024
stdv_math_persistence,TRUE,TRUE,FALSE,0.136814168,0.154541277,0,1,1,12,3,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=process; domain=process | construct=context_subject_specific_beliefs_attitudes_feelings_and_behaviours,domain=individual | construct=user_attributes,"MLFTAU: Individual | User Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours","PISA: Process | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual | User Attributes,Peak salience (rank 1) in at least one framework/context slice,6.609762529
icdv_ict_support_feedback_self,TRUE,TRUE,FALSE,0.063167323,0.103881696,0,1,1,16,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_organisation_of_student_learning_at_school; domain=process | construct=context_school_culture_and_climate,domain=group_class | construct=social_influence; domain=organisation_school | construct=facilitating_conditions; domain=organisation_school | construct=social_influence,MLFTAU: Group/Class; Organisation/School | Social Influence; Facilitating Conditions; PISA_ICT_In: Process | ICT-Based Assessments; Teachers' ICT Pedagogical Practices; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Organisation of Student Learning at School; School Culture and Climate,PISA: Process | Organisation of Student Learning at School; School Culture and Climate,PISA_ICT_In: Process | ICT-Based Assessments; Teachers' ICT Pedagogical Practices,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class; Organisation/School | Social Influence; Facilitating Conditions,Peak salience (rank 1) in at least one framework/context slice,6.598632681
st_digital_learning_weekend_hours,TRUE,FALSE,TRUE,0.068901167,0,0.171520839,1,1,15,2,1,TRUE,TRUE,MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,OutOfSchool,,domain=process; domain=process | construct=context_out_of_school_experiences; domain=process | construct=students_use_of_ict_for_self_directed_learning,domain=individual | construct=events_time; domain=individual | construct=technology_attributes,"MLFTAU: Individual | Events Time; Technology Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Process | Students' Use of ICT for Self-Directed Learning | E-Learning, Online Courses, Tutorials; PISA: Process | Out-of-School Experiences",PISA: Process | Out-of-School Experiences,PISA_ICT_In: Not Applicable | Not Applicable,"PISA_ICT_Out: Process | Students' Use of ICT for Self-Directed Learning | E-Learning, Online Courses, Tutorials",MLFTAU: Individual | Events Time; Technology Attributes,Peak salience (rank 1) in at least one framework/context slice,6.524872589
icdv_ict_enquiry_learning_self,TRUE,TRUE,FALSE,0.071088132,0.124893989,0,1,1,15,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_organisation_of_student_learning_at_school; domain=process | construct=students_engagement_with_learning_through_ict,domain=organisation_school | construct=task_attributes; domain=organisation_school | construct=technology_attributes,MLFTAU: Group/Class; Organisation/School | Task Attributes; Technology Attributes; PISA_ICT_In: Process | Teachers' ICT Pedagogical Practices; Students' Engagement with Learning through ICT; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Organisation of Student Learning at School; Creative Thinking,PISA: Process | Organisation of Student Learning at School; Creative Thinking,PISA_ICT_In: Process | Teachers' ICT Pedagogical Practices; Students' Engagement with Learning through ICT,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class; Organisation/School | Task Attributes; Technology Attributes,Peak salience (rank 1) in at least one framework/context slice,6.481526187
scdv_proportion_master_teachers,TRUE,TRUE,FALSE,0.146622946,0.132895735,0,1,1,11,3,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=input; domain=input | construct=context_teacher_qualification_training_and_professional_development,domain=organisation_school | construct=organisation_attributes,"MLFTAU: Organisation/School | Organisation Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input | Teacher Qualification, Training, and Professional Development","PISA: Input | Teacher Qualification, Training, and Professional Development",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes,Peak salience (rank 1) in at least one framework/context slice,6.452830154
sc_disadvantaged_homes,TRUE,TRUE,FALSE,0.108423119,0.205485959,0,1,1,12,3,1,TRUE,TRUE,Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=context; domain=input,domain=organisation_school | construct=organisation_attributes,"MLFTAU: Organisation/School | Organisation Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Context; Input | Economic, Social, and Cultural Status","PISA: Context; Input | Economic, Social, and Cultural Status",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes,Peak salience (rank 1) in at least one framework/context slice,6.418120637
stdv_sense_of_belonging,TRUE,TRUE,FALSE,0.106921474,0.147053646,0,1,1,14,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_general_social_and_emotional_characteristics; domain=process | construct=context_school_culture_and_climate,domain=individual | construct=well_being_outcomes; domain=output | construct=well_being_outcomes,MLFTAU: Individual; Output | Well-Being Outcomes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | School Culture and Climate; General Social and Emotional Characteristics,PISA: Process | School Culture and Climate; General Social and Emotional Characteristics,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual; Output | Well-Being Outcomes,Peak salience (rank 1) in at least one framework/context slice,6.407435857
st_device_open_class,TRUE,TRUE,FALSE,0.031992518,0.051748282,0,1,1,15,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process | construct=students_engagement_with_learning_through_ict,domain=individual | construct=events_time; domain=individual | construct=habit; domain=individual | construct=task_attributes; domain=individual | construct=technology_attributes,"MLFTAU: Individual; Group/Class | Events Time; Technology Attributes; Habit; Task Attributes; PISA_ICT_In: Process | Students' Use of ICT in Class; Students' Engagement with Learning through ICT; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours","PISA: Process | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours",PISA_ICT_In: Process | Students' Use of ICT in Class; Students' Engagement with Learning through ICT,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual; Group/Class | Events Time; Technology Attributes; Habit; Task Attributes,Peak salience (rank 1) in at least one framework/context slice,6.349737059
st_intelligence_hard_to_change,TRUE,TRUE,TRUE,0.03602234,0.054534734,0.099980044,1,1,13,2,2,TRUE,TRUE,MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,,domain=process; domain=process | construct=context_subject_specific_beliefs_attitudes_feelings_and_behaviours,domain=individual | construct=performance_expectancy; domain=individual | construct=user_attributes,"MLFTAU: Individual | User Attributes; Performance Expectancy; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours","PISA: Process | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual | User Attributes; Performance Expectancy,Peak salience (rank 1) in at least one framework/context slice,6.304013554
stdv_expected_education_level,TRUE,TRUE,TRUE,0.056643733,0.114030904,0.155103874,1,1,12,2,2,TRUE,TRUE,MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool,InSchool; OutOfSchool,,domain=output; domain=output | construct=context_educational_pathways_and_aspirations,domain=individual | construct=behavioural_intention,MLFTAU: Individual | Behavioural Intention; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Output | Educational Pathways and Aspirations,PISA: Output | Educational Pathways and Aspirations,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual | Behavioural Intention,Peak salience (rank 1) in at least one framework/context slice,6.240069475
stdv_exposure_21st_century_math,TRUE,TRUE,FALSE,0.087533995,0.121060021,0,2,0.916746743,18,2,1,FALSE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=input; domain=input | construct=context_exposure_to_mathematics_content; domain=process; domain=process | construct=context_creative_thinking; domain=process | construct=context_exposure_to_mathematics_content,domain=group_class | construct=task_attributes,MLFTAU: Group/Class | Task Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input; Process | Exposure to Mathematics Content; Creative Thinking,PISA: Input; Process | Exposure to Mathematics Content; Creative Thinking,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class | Task Attributes,High salience (top 3) in at least one framework/context slice,6.077481128
st_rate_quality_math_instruction,TRUE,TRUE,FALSE,0.120301758,0.139093886,0,1,1,10,3,1,TRUE,TRUE,Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_assessment_evaluation_and_accountability,domain=group_class | construct=organisation_attributes,"MLFTAU: Group/Class | Organisation Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Mathematics Teacher Behaviours; Assessment, Evaluation, and Accountability","PISA: Process | Mathematics Teacher Behaviours; Assessment, Evaluation, and Accountability",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class | Organisation Attributes,Peak salience (rank 1) in at least one framework/context slice,6.069546523